NAME,TRIBE_CODE,LAT,LON,land_area,atlantic_,atlantic1,atlantic2,atlantic3,indiannum,indianall,indian_n1,indian_n2,indian_n3,atlantica,isocode,prom_trust_relative,prom_trust_neigh,prom_trust_intra,prom_trust_inter,prom_trust_gov
DUAISH,"186",17.35230000000,-12.14790000000,"64875.46498734307","0","0","0","6","0","0","0","0","0","6",,,,,,
DUALA,"187",3.73289804414,9.95348930890,"6022.19453597787","0","0","0","5417","0","0","0","0","0","5417",,,,,,
DUI-MENIA,"188",30.68200000000,-2.40157000000,"55764.48923147149","0","0","0","0","0","0","0","0","0","0",,,,,,
DUMA,"189",-1.87220000000,13.16220000000,"58343.85504947142","0","0","0","1112","0","0","0","0","0","1112",,,,,,
DURU,"190",8.09835808415,14.13180000000,"10952.81490636537","0","0","0","0","0","0","0","0","0","0",,,,,,
DURUMA,"191",-3.83717000000,39.21160000000,"2439.36084612515","0","0","0","0","266","1132","133","286","447","0",KEN,2.2222223,1.7777778,1.5555556,1,1
DZEM,"192",2.67501131474,14.16860000000,"62028.54829205888","0","0","0","0","0","0","0","0","0","0",,,,,,
DZING,"193",-4.27197000000,19.43050000000,"11319.06992993673","0","0","0","0","0","0","0","0","0","0",,,,,,
EBRIE,"194",5.47096818068,-3.91844000000,"3271.476645722712","0","0","0","36","0","0","0","0","0","36",,,,,,
EDO,"195",6.32127189196,5.80369158061,"14683.09024845902","0","0","10389","2308","0","0","0","0","0","12697",NGA,1.5573771,1.2459016,1.1803279,0.91803277,0.52631581
EGBA,"196",7.88788726794,2.62273041050,"28566.58344683461","0","0","0","47","0","0","0","0","0","47",NGA,0,0,0,0,0
EGEDE,"197",6.55676218501,8.83088128434,"1494.394194321595","0","0","0","0","0","0","0","0","0","0",,,,,,
EGYPTIANS,"198",28.01530000000,31.17380000000,"125518.972114981","0","0","0","0","0","0","0","0","0","0",,,,,,
EKITI,"199",7.19092301451,5.36274574367,"22407.65973743387","0","0","0","0","0","0","0","0","0","0",,,,,,
EKOI,"200",5.61523368606,8.80537274396,"6749.457935718308","0","0","392","1100","0","0","0","0","0","1492",NGA,1.6,1.4,1.4,1,0.40000001
